Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  1    106 MPGE-SL  ManEst      4      13          D2A       57.60    320.00       34.85            1
  1    107 MPGE-SL  ManEst      4      13          D1A       54.15    270.00       31.40            1
  1    108 MPGE-SL  ManEst      4      13          D1A       49.20    480.00       26.45            1
  1    109 MPGE-SL  ManEst      4      14          D1A       52.94    300.00       30.19            1
  1    110 MPGE-SL  ManEst      4      15          D1B       51.83    405.00       29.08            1
  1    111 MPGE-SL  ManEst      4      15          D2A       55.17    345.00       32.42            1
  1    112 MPGE-SL  ManEst      4      15          D1B       55.14    295.00       32.39            1
  1    113 MPGE-SL  ManEst      4      15          D2B       53.68    400.00       30.93            1
  1    114 MPGE-SL  ManEst      4      16          D2B       57.80    330.00       35.05            1
  1    115 MPGE-SL  ManEst      4      16          D2A       56.88    320.00       34.13            1
  1    116 MPGE-SL  ManEst      4      16          D2A       55.73    600.00       32.97            1
  1    117 MPGE-SL  ManEst      4      16          D2A       58.00    295.00       35.25            1
  1    118 MPGE-SL  ManEst      4      16          D1A       56.33    300.00       33.58            1
  1    119 MPGE-SL  ManEst      4      16          D1B       53.01    390.00       30.25            1
  1    120 MPGE-SL  ManEst      4      18          D2B       55.05    615.00       32.30            1
  1    121 MPGE-SL  ManEst      4      18          D1B       55.63    595.00       32.88            1
  1    122 MPGE-SL  ManEst      4      18          D1B       56.32    420.00       33.57            1
  1    123 MPGE-SL  ManEst      4      18          D1A       57.73    350.00       34.98            1
  1    124 MPGE-SL  ManEst      4      18          D2A       55.57    380.00       32.82            1
  1    125 MPGE-SL  ManEst      4      18          D1A       59.21    330.00       36.46            1
  1    126 MPGE-SL  ManEst      4      18          D2B       61.87    280.00       39.12            1
  1    127 MPGE-SL  ManEst      4      18          D2B       54.87    320.00       32.12            1
  1    128 MPGE-SL  ManEst      4      18          D1A       54.89    315.00       32.14            1
  2      1 MGPE-SL  ManEst      1       0          D2A       61.04    470.00       43.23            1
  2      2 MGPE-SL  ManEst      1       0          D2A       59.36    385.00       41.55            1
  2      3 MGPE-SL  ManEst      1       0          D1B       59.64    425.00       41.83            1
  2      4 MGPE-SL  ManEst      1       0          D2B       57.13    345.00       39.32            1
  2      5 MGPE-SL  ManEst      1       0          D1B       56.31    485.00       38.49            1
  2      6 MGPE-SL  ManEst      1       0          D2B       49.49    425.00       31.68            1
  2      7 MGPE-SL  ManEst      1       0          D1A       48.84    375.00       31.03            1
  2      8 MGPE-SL  ManEst      1       1          D2A       56.23    395.00       38.42            1
  2      9 MGPE-SL  ManEst      1       1          D1B       65.96    685.00       48.15            1
  2     10 MGPE-SL  ManEst      1       1          D2A       60.64    390.00       42.82            1
  2     11 MGPE-SL  ManEst      1       1          D1A       47.39    410.00       29.58            1
  2     12 MGPE-SL  ManEst      1       1          D2B       57.02    420.00       39.21            1
  2     13 MGPE-SL  ManEst      1       1          D1A       49.62    410.00       31.81            1
  2     14 MGPE-SL  ManEst      1       2          D2B       48.98    485.00       31.17            1
  2     15 MGPE-SL  ManEst      1       2          D2B       45.55    550.00       27.74            1
  2     16 MGPE-SL  ManEst      1       2          D2A       50.02    460.00       32.21            1
  2     17 MGPE-SL  ManEst      1       3          D2A       50.00    620.00       32.19            1
  2     18 MGPE-SL  ManEst      1       3          D1A       60.33    655.00       42.52            1
  2     19 MGPE-SL  ManEst      1       3          D1A       58.38    565.00       40.57            1
  2     20 MGPE-SL  ManEst      1       3          D2B       46.09    390.00       28.27            1
  2     21 MGPE-SL  ManEst      1       3          D1A       47.99    415.00       30.18            1
  2     22 MGPE-SL  ManEst      1       3          D1B       44.61    465.00       26.79            1
  2     23 MGPE-SL  ManEst      1       3          D1A       48.12    595.00       30.31            1
  2     24 MGPE-SL  ManEst      1       3          D1B       42.83    410.00       25.02            1
  2     25 MGPE-SL  ManEst      1       4          D2A       45.71    645.00       27.89            1
  2     26 MGPE-SL  ManEst      1       5          D2B       51.98    615.00       34.17            1
  2     27 MGPE-SL  ManEst      1       5          D1B       47.25    410.00       29.43            1
  2     28 MGPE-SL  ManEst      1       5          D1B       48.87    495.00       31.05            1
  2     29 MGPE-SL  ManEst      1       5          D2A       55.34    330.00       37.53            1
  2     30 MGPE-SL  ManEst      1       5          D2B       59.04    510.00       41.22            1
  2     31 MGPE-SL  ManEst      1       5          D1A       46.61    300.00       28.80            1
  2     32 MGPE-SL  ManEst      1       5          D1B       49.57    505.00       31.75            1
  2     33 MGPE-SL  ManEst      2       5          D2A       42.53    665.00       24.37            1
  2     34 MGPE-SL  ManEst      2       5          D1A       59.63    490.00       41.46            1
  2     35 MGPE-SL  ManEst      2       5          D2B       51.81    370.00       33.65            1
  2     36 MGPE-SL  ManEst      2       5          D1B       44.09    470.00       25.93            1
  2     37 MGPE-SL  ManEst      2       5          D1A       49.66    290.00       31.50            1
  2     38 MGPE-SL  ManEst      2       7          D1B       49.40    535.00       31.24            1
  2     39 MGPE-SL  ManEst      2       7          D1B       48.59    305.00       30.43            1
  2     40 MGPE-SL  ManEst      2       7          D1B       48.80    350.00       30.64            1
  2     41 MGPE-SL  ManEst      2       7          D2B       53.66    375.00       35.50            1
  2     42 MGPE-SL  ManEst      2       7          D1B       48.89    435.00       30.73            1
  2     43 MGPE-SL  ManEst      2       7          D2B       49.78    540.00       31.62            1
  2     44 MGPE-SL  ManEst      2       7          D2A       44.98    540.00       26.82            1
  2     45 MGPE-SL  ManEst      2       7          D1A       43.35    505.00       25.19            1
  2     46 MGPE-SL  ManEst      2       7          D1A       46.67    410.00       28.51            1
  2     47 MGPE-SL  ManEst      2       7          D2A       41.32    405.00       23.16            1
  2     48 MGPE-SL  ManEst      2       7          D2B       51.51    400.00       33.34            1
  2     49 MGPE-SL  ManEst      2       7          D2A       45.65    520.00       27.49            1
  2     50 MGPE-SL  ManEst      2       7          D1B       59.93    610.00       41.77            1
  2     51 MGPE-SL  ManEst      2       7          D1A       55.77    745.00       37.61            1
  2     52 MGPE-SL  ManEst      2       7          D2A       46.61    480.00       28.45            1
  2     53 MGPE-SL  ManEst      2       7          D1A       55.15    350.00       36.99            1
  2     54 MGPE-SL  ManEst      2       7          D2B       54.62    435.00       36.46            1
  2     55 MGPE-SL  ManEst      2       7          D2A       46.28    435.00       28.12            1
  2     56 MGPE-SL  ManEst      2       7          D2A       55.28    435.00       37.12            1
  2     57 MGPE-SL  ManEst      2       7          D1B       46.65    460.00       28.48            1
  2     58 MGPE-SL  ManEst      2       7          D2B       48.61    425.00       30.45            1
  2     59 MGPE-SL  ManEst      2       7          D2B       55.17    385.00       37.01            1
  2     60 MGPE-SL  ManEst      2       7          D2B       58.72    370.00       40.56            1
  2     61 MGPE-SL  ManEst      2       7          D2A       55.91    500.00       37.75            1
  2     62 MGPE-SL  ManEst      2       9          D1A       53.53    395.00       35.37            1
  2     63 MGPE-SL  ManEst      2       9          D1A       55.91    320.00       37.75            1
  2     64 MGPE-SL  ManEst      2       9          D1B       51.84    440.00       33.68            1
  2     65 MGPE-SL  ManEst      3      10          D1A       55.41    240.00       37.33            1
  2     66 MGPE-SL  ManEst      3      10          D1B       42.43    330.00       24.35            1
  2     67 MGPE-SL  ManEst      3      10          D1B       44.75    440.00       26.67            1
  2     68 MGPE-SL  ManEst      3      10          D2B       56.17    325.00       38.09            1
  2     69 MGPE-SL  ManEst      3      10          D2A       47.19    450.00       29.11            1
  2     70 MGPE-SL  ManEst      3      10          D2A       54.34    485.00       36.26            1
  2     71 MGPE-SL  ManEst      3      10          D1A       47.59    555.00       29.51            1
  2     72 MGPE-SL  ManEst      3      10          D2A       52.96    485.00       34.88            1
  2     73 MGPE-SL  ManEst      3      10          D1B       53.29    435.00       35.22            1
  2     74 MGPE-SL  ManEst      3      10          D2A       58.61    445.00       40.53            1
  2     75 MGPE-SL  ManEst      3      10          D2A       54.56    475.00       36.48            1
  2     76 MGPE-SL  ManEst      3      10          D2A       54.48    395.00       36.41            1
  2     77 MGPE-SL  ManEst      3      10          D1A       50.32    425.00       32.24            1
  2     78 MGPE-SL  ManEst      3      11          D1B       58.62    515.00       40.55            1
  2     79 MGPE-SL  ManEst      3      11          D1B       55.34    500.00       37.26            1
  2     80 MGPE-SL  ManEst      3      11          D2B       57.20    400.00       39.12            1
  2     81 MGPE-SL  ManEst      3      11          D1B       50.59    320.00       32.52            1
  2     82 MGPE-SL  ManEst      3      11          D2B       51.54    565.00       33.46            1
  2     83 MGPE-SL  ManEst      3      12          D1A       54.85    380.00       36.77            1
  2     84 MGPE-SL  ManEst      3      12          D1A       53.95    540.00       35.87            1
  2     85 MGPE-SL  ManEst      3      12          D2A       51.24    560.00       33.16            1
  2     86 MGPE-SL  ManEst      3      12          D2B       48.79    520.00       30.71            1
  2     87 MGPE-SL  ManEst      3      12          D2B       56.98    320.00       38.90            1
  2     88 MGPE-SL  ManEst      3      12          D1A       56.59    255.00       38.51            1
  2     89 MGPE-SL  ManEst      3      12          D2B       52.83    350.00       34.75            1
  2     90 MGPE-SL  ManEst      3      12          D2B       55.20    385.00       37.12            1
  2     91 MGPE-SL  ManEst      3      12          D1B       57.19    490.00       39.11            1
  2     92 MGPE-SL  ManEst      3      12          D1A       52.39    450.00       34.31            1
  2     93 MGPE-SL  ManEst      3      12          D2B       48.79    340.00       30.71            1
  2     94 MGPE-SL  ManEst      3      12          D1A       49.36    415.00       31.28            1
  2     95 MGPE-SL  ManEst      3      12          D2A       52.46    465.00       34.39            1
  2     96 MGPE-SL  ManEst      3      12          D1B       58.40    405.00       40.32            1
  2     97 MGPE-SL  ManEst      4      12          D2A       44.99    615.00       27.29            1
  2     98 MGPE-SL  ManEst      4      13          D2A       54.26    360.00       36.56            1
  2     99 MGPE-SL  ManEst      4      13          D1B       54.18    345.00       36.49            1
  2    100 MGPE-SL  ManEst      4      13          D2A       57.71    490.00       40.01            1
  2    101 MGPE-SL  ManEst      4      13          D1A       51.74    420.00       34.04            1
  2    102 MGPE-SL  ManEst      4      13          D2B       49.41    570.00       31.71            1
  2    103 MGPE-SL  ManEst      4      13          D2B       57.48    485.00       39.79            1
  2    104 MGPE-SL  ManEst      4      13          D1A       59.27    480.00       41.58            1
  2    105 MGPE-SL  ManEst      4      13          D2A       49.14    380.00       31.44            1
  2    106 MGPE-SL  ManEst      4      13          D2A       53.21    535.00       35.51            1
  2    107 MGPE-SL  ManEst      4      13          D1B       51.64    450.00       33.94            1
  2    108 MGPE-SL  ManEst      4      13          D2B       62.82    315.00       45.12            1
  2    109 MGPE-SL  ManEst      4      13          D2B       50.78    505.00       33.08            1
  2    110 MGPE-SL  ManEst      4      13          D2A       54.39    530.00       36.70            1
  2    111 MGPE-SL  ManEst      4      13          D1A       45.92    325.00       28.22            1
  2    112 MGPE-SL  ManEst      4      13          D1A       52.93    330.00       35.23            1
  2    113 MGPE-SL  ManEst      4      13          D1B       52.27    305.00       34.58            1
  2    114 MGPE-SL  ManEst      4      14          D2A       43.51    255.00       25.81            1
  2    115 MGPE-SL  ManEst      4      14          D1B       50.49    320.00       32.79            1
  2    116 MGPE-SL  ManEst      4      14          D1B       48.27    410.00       30.57            1
  2    117 MGPE-SL  ManEst      4      14          D1A       47.42    345.00       29.72            1
  2    118 MGPE-SL  ManEst      4      14          D2B       56.51    365.00       38.81            1
  2    119 MGPE-SL  ManEst      4      14          D1B       56.07    395.00       38.38            1
  2    120 MGPE-SL  ManEst      4      14          D2B       56.47    380.00       38.77            1
  2    121 MGPE-SL  ManEst      4      15          D1B       54.81    355.00       37.11            1
  2    122 MGPE-SL  ManEst      4      15          D2A       49.53    300.00       31.84            1
  2    123 MGPE-SL  ManEst      4      15          D2B       60.21    350.00       42.51            1
  2    124 MGPE-SL  ManEst      4      15          D1A       56.55    475.00       38.85            1
  2    125 MGPE-SL  ManEst      4      15          D2B       64.63    335.00       46.93            1
  2    126 MGPE-SL  ManEst      4      15          D1A       56.73    540.00       39.03            1
  2    127 MGPE-SL  ManEst      4      15          D1A       49.54    355.00       31.84            1
  2    128 MGPE-SL  ManEst      4      15          D1B       52.58    620.00       34.88            1
  3      1 GPME-SL  ManEst      1       0          D1B       55.74    350.00       36.18            1
  3      2 GPME-SL  ManEst      1       0          D2B       55.21    250.00       35.65            1
  3      3 GPME-SL  ManEst      1       0          D2A       54.60    220.00       35.04            1
  3      4 GPME-SL  ManEst      1       0          D2A       60.51    285.00       40.95            1
  3      5 GPME-SL  ManEst      1       0          D2B       54.65    220.00       35.09            1
  3      6 GPME-SL  ManEst      1       0          D2B       57.85    305.00       38.30            1
  3      7 GPME-SL  ManEst      1       0          D1A       49.74    250.00       30.18            1
  3      8 GPME-SL  ManEst      1       0          D1B       62.13    305.00       42.57            1
  3      9 GPME-SL  ManEst      1       0          D2B       59.80    260.00       40.25            1
  3     10 GPME-SL  ManEst      1       0          D1A       57.43    305.00       37.87            1
  3     11 GPME-SL  ManEst      1       0          D2B       52.92    225.00       33.36            1
  3     12 GPME-SL  ManEst      1       0          D1A       53.36    235.00       33.80            1
  3     13 GPME-SL  ManEst      1       0          D1A       54.38    205.00       34.82            1
  3     14 GPME-SL  ManEst      1       0          D1A       56.71    255.00       37.15            1
  3     15 GPME-SL  ManEst      1       0          D2A       57.28    255.00       37.72            1
  3     16 GPME-SL  ManEst      1       0          D1B       52.83    220.00       33.28            1
  3     17 GPME-SL  ManEst      1       0          D2A       53.93    220.00       34.37            1
  3     18 GPME-SL  ManEst      1       0          D2A       56.56    230.00       37.00            1
  3     19 GPME-SL  ManEst      1       0          D2A       52.66    260.00       33.11            1
  3     20 GPME-SL  ManEst      1       0          D1B       58.62    215.00       39.06            1
  3     21 GPME-SL  ManEst      1       0          D1A       57.89    235.00       38.34            1
  3     22 GPME-SL  ManEst      1       0          D1B       57.48    235.00       37.92            1
  3     23 GPME-SL  ManEst      1       0          D1A       56.40    240.00       36.84            1
  3     24 GPME-SL  ManEst      1       0          D2B       58.01    230.00       38.45            1
  3     25 GPME-SL  ManEst      1       0          D2A       58.80    270.00       39.24            1
  3     26 GPME-SL  ManEst      1       0          D2B       59.86    250.00       40.31            1
