Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  2      6 MGPE-SL  ManEst      1       0          D2B       49.49       1117.39    425.00       31.68            1
  2      7 MGPE-SL  ManEst      1       0          D1A       48.84       1163.41    375.00       31.03            1
  2      8 MGPE-SL  ManEst      1       1          D2A       56.23       1037.46    395.00       38.42            1
  2      9 MGPE-SL  ManEst      1       1          D1B       65.96       1429.18    685.00       48.15            1
  2     10 MGPE-SL  ManEst      1       1          D2A       60.64       1007.56    390.00       42.82            1
  2     11 MGPE-SL  ManEst      1       1          D1A       47.39       1073.33    410.00       29.58            1
  2     12 MGPE-SL  ManEst      1       1          D2B       57.02       1105.38    420.00       39.21            1
  2     13 MGPE-SL  ManEst      1       1          D1A       49.62       1062.39    410.00       31.81            1
  2     14 MGPE-SL  ManEst      1       2          D2B       48.98       1175.34    485.00       31.17            1
  2     15 MGPE-SL  ManEst      1       2          D2B       45.55       1188.44    550.00       27.74            1
  2     16 MGPE-SL  ManEst      1       2          D2A       50.02       1069.42    460.00       32.21            1
  2     17 MGPE-SL  ManEst      1       3          D2A       50.00       1313.25    620.00       32.19            1
  2     18 MGPE-SL  ManEst      1       3          D1A       60.33       1491.17    655.00       42.52            1
  2     19 MGPE-SL  ManEst      1       3          D1A       58.38       1313.24    565.00       40.57            1
  2     20 MGPE-SL  ManEst      1       3          D2B       46.09       1174.41    390.00       28.27            1
  2     21 MGPE-SL  ManEst      1       3          D1A       47.99       1147.15    415.00       30.18            1
  2     22 MGPE-SL  ManEst      1       3          D1B       44.61       1246.29    465.00       26.79            1
  2     23 MGPE-SL  ManEst      1       3          D1A       48.12       1356.19    595.00       30.31            1
  2     24 MGPE-SL  ManEst      1       3          D1B       42.83       1244.24    410.00       25.02            1
  2     25 MGPE-SL  ManEst      1       4          D2A       45.71       1381.30    645.00       27.89            1
  2     26 MGPE-SL  ManEst      1       5          D2B       51.98       1363.16    615.00       34.17            1
  2     27 MGPE-SL  ManEst      1       5          D1B       47.25       1114.30    410.00       29.43            1
  2     28 MGPE-SL  ManEst      1       5          D1B       48.87       1134.86    495.00       31.05            1
  2     29 MGPE-SL  ManEst      1       5          D2A       55.34        985.52    330.00       37.53            1
  2     30 MGPE-SL  ManEst      1       5          D2B       59.04       1259.50    510.00       41.22            1
  2     31 MGPE-SL  ManEst      1       5          D1A       46.61       1180.39    300.00       28.80            1
  2     32 MGPE-SL  ManEst      1       5          D1B       49.57       1320.06    505.00       31.75            1
  2     33 MGPE-SL  ManEst      2       5          D2A       42.53       1202.35    665.00       24.37            1
  2     34 MGPE-SL  ManEst      2       5          D1A       59.63       1117.60    490.00       41.46            1
  2     35 MGPE-SL  ManEst      2       5          D2B       51.81       1096.56    370.00       33.65            1
  2     36 MGPE-SL  ManEst      2       5          D1B       44.09       1144.48    470.00       25.93            1
  2     37 MGPE-SL  ManEst      2       5          D1A       49.66       1017.43    290.00       31.50            1
  2     38 MGPE-SL  ManEst      2       7          D1B       49.40       1165.32    535.00       31.24            1
  2     39 MGPE-SL  ManEst      2       7          D1B       48.59       1031.43    305.00       30.43            1
  2     40 MGPE-SL  ManEst      2       7          D1B       48.80        920.49    350.00       30.64            1
  2     41 MGPE-SL  ManEst      2       7          D2B       53.66       1033.46    375.00       35.50            1
  2     42 MGPE-SL  ManEst      2       7          D1B       48.89       1306.93    435.00       30.73            1
  2     43 MGPE-SL  ManEst      2       7          D2B       49.78       1281.25    540.00       31.62            1
  2     44 MGPE-SL  ManEst      2       7          D2A       44.98       1192.43    540.00       26.82            1
  2     45 MGPE-SL  ManEst      2       7          D1A       43.35       1128.68    505.00       25.19            1
  2     46 MGPE-SL  ManEst      2       7          D1A       46.67       1061.46    410.00       28.51            1
  2     47 MGPE-SL  ManEst      2       7          D2A       41.32       1059.77    405.00       23.16            1
  2     48 MGPE-SL  ManEst      2       7          D2B       51.51       1108.78    400.00       33.34            1
  2     49 MGPE-SL  ManEst      2       7          D2A       45.65       1254.35    520.00       27.49            1
  2     50 MGPE-SL  ManEst      2       7          D1B       59.93       1216.64    610.00       41.77            1
  2     51 MGPE-SL  ManEst      2       7          D1A       55.77       1444.18    745.00       37.61            1
  2     52 MGPE-SL  ManEst      2       7          D2A       46.61       1150.44    480.00       28.45            1
  2     53 MGPE-SL  ManEst      2       7          D1A       55.15       1022.45    350.00       36.99            1
  2     54 MGPE-SL  ManEst      2       7          D2B       54.62       1028.39    435.00       36.46            1
  2     55 MGPE-SL  ManEst      2       7          D2A       46.28        993.49    435.00       28.12            1
  2     56 MGPE-SL  ManEst      2       7          D2A       55.28       1000.56    435.00       37.12            1
  2     57 MGPE-SL  ManEst      2       7          D1B       46.65       1072.38    460.00       28.48            1
  2     58 MGPE-SL  ManEst      2       7          D2B       48.61        991.52    425.00       30.45            1
  2     59 MGPE-SL  ManEst      2       7          D2B       55.17        966.57    385.00       37.01            1
  2     60 MGPE-SL  ManEst      2       7          D2B       58.72        916.58    370.00       40.56            1
  2     61 MGPE-SL  ManEst      2       7          D2A       55.91       1058.95    500.00       37.75            1
  2     62 MGPE-SL  ManEst      2       9          D1A       53.53        951.58    395.00       35.37            1
  2     63 MGPE-SL  ManEst      2       9          D1A       55.91        982.43    320.00       37.75            1
  2     64 MGPE-SL  ManEst      2       9          D1B       51.84        989.52    440.00       33.68            1
  2     65 MGPE-SL  ManEst      3      10          D1A       55.41        817.39    240.00       37.33            1
  2     66 MGPE-SL  ManEst      3      10          D1B       42.43        974.55    330.00       24.35            1
  2     67 MGPE-SL  ManEst      3      10          D1B       44.75        980.55    440.00       26.67            1
  2     68 MGPE-SL  ManEst      3      10          D2B       56.17        943.59    325.00       38.09            1
  2     69 MGPE-SL  ManEst      3      10          D2A       47.19       1107.42    450.00       29.11            1
  2     70 MGPE-SL  ManEst      3      10          D2A       54.34        993.48    485.00       36.26            1
  2     71 MGPE-SL  ManEst      3      10          D1A       47.59       1183.42    555.00       29.51            1
  2     72 MGPE-SL  ManEst      3      10          D2A       52.96       1078.49    485.00       34.88            1
  2     73 MGPE-SL  ManEst      3      10          D1B       53.29       1007.49    435.00       35.22            1
  2     74 MGPE-SL  ManEst      3      10          D2A       58.61       1008.29    445.00       40.53            1
  2     75 MGPE-SL  ManEst      3      10          D2A       54.56       1045.40    475.00       36.48            1
  2     76 MGPE-SL  ManEst      3      10          D2A       54.48       1019.55    395.00       36.41            1
  2     77 MGPE-SL  ManEst      3      10          D1A       50.32       1124.32    425.00       32.24            1
  2     78 MGPE-SL  ManEst      3      11          D1B       58.62       1088.17    515.00       40.55            1
  2     79 MGPE-SL  ManEst      3      11          D1B       55.34       1363.12    500.00       37.26            1
  2     80 MGPE-SL  ManEst      3      11          D2B       57.20       1003.50    400.00       39.12            1
  2     81 MGPE-SL  ManEst      3      11          D1B       50.59        940.01    320.00       32.52            1
  2     82 MGPE-SL  ManEst      3      11          D2B       51.54       1187.29    565.00       33.46            1
  2     83 MGPE-SL  ManEst      3      12          D1A       54.85       1012.52    380.00       36.77            1
  2     84 MGPE-SL  ManEst      3      12          D1A       53.95       1080.48    540.00       35.87            1
  2     85 MGPE-SL  ManEst      3      12          D2A       51.24       1190.31    560.00       33.16            1
  2     86 MGPE-SL  ManEst      3      12          D2B       48.79       1119.44    520.00       30.71            1
  2     87 MGPE-SL  ManEst      3      12          D2B       56.98       1001.47    320.00       38.90            1
  2     88 MGPE-SL  ManEst      3      12          D1A       56.59        934.09    255.00       38.51            1
  2     89 MGPE-SL  ManEst      3      12          D2B       52.83        936.56    350.00       34.75            1
  2     90 MGPE-SL  ManEst      3      12          D2B       55.20        994.50    385.00       37.12            1
  2     91 MGPE-SL  ManEst      3      12          D1B       57.19       1043.44    490.00       39.11            1
  2     92 MGPE-SL  ManEst      3      12          D1A       52.39       1070.47    450.00       34.31            1
  2     93 MGPE-SL  ManEst      3      12          D2B       48.79        913.49    340.00       30.71            1
  2     94 MGPE-SL  ManEst      3      12          D1A       49.36        999.52    415.00       31.28            1
  2     95 MGPE-SL  ManEst      3      12          D2A       52.46       1054.37    465.00       34.39            1
  2     96 MGPE-SL  ManEst      3      12          D1B       58.40       1037.46    405.00       40.32            1
  2     97 MGPE-SL  ManEst      4      12          D2A       44.99       1319.30    615.00       27.29            1
  2     98 MGPE-SL  ManEst      4      13          D2A       54.26       1046.42    360.00       36.56            1
  2     99 MGPE-SL  ManEst      4      13          D1B       54.18        970.55    345.00       36.49            1
  2    100 MGPE-SL  ManEst      4      13          D2A       57.71       1170.29    490.00       40.01            1
  2    101 MGPE-SL  ManEst      4      13          D1A       51.74       1075.43    420.00       34.04            1
  2    102 MGPE-SL  ManEst      4      13          D2B       49.41       1129.67    570.00       31.71            1
  2    103 MGPE-SL  ManEst      4      13          D2B       57.48       1172.41    485.00       39.79            1
  2    104 MGPE-SL  ManEst      4      13          D1A       59.27       1083.43    480.00       41.58            1
  2    105 MGPE-SL  ManEst      4      13          D2A       49.14        991.51    380.00       31.44            1
  2    106 MGPE-SL  ManEst      4      13          D2A       53.21       1309.27    535.00       35.51            1
  2    107 MGPE-SL  ManEst      4      13          D1B       51.64       1035.48    450.00       33.94            1
  2    108 MGPE-SL  ManEst      4      13          D2B       62.82        873.30    315.00       45.12            1
  2    109 MGPE-SL  ManEst      4      13          D2B       50.78       1141.35    505.00       33.08            1
  2    110 MGPE-SL  ManEst      4      13          D2A       54.39       1074.41    530.00       36.70            1
  2    111 MGPE-SL  ManEst      4      13          D1A       45.92        912.62    325.00       28.22            1
