Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT
  2     43  PMG-SL  ManEst      2       1          D2A       51.98    205.00
  2     44  PMG-SL  ManEst      2       1          D1A       52.74    320.00
  2     45  PMG-SL  ManEst      2       1          D1A       58.33    465.00
  2     46  PMG-SL  ManEst      2       1          D2B       59.65    285.00
  2     47  PMG-SL  ManEst      2       1          D1B       55.05    345.00
  2     48  PMG-SL  ManEst      2       1          D1A       55.42    390.00
  2     49  PMG-SL  ManEst      2       1          D1B       55.03    390.00
  2     50  PMG-SL  ManEst      2       1          D2A       56.75    310.00
  2     51  PMG-SL  ManEst      2       1          D1A       56.31    255.00
  2     52  PMG-SL  ManEst      2       1          D2B       52.40    325.00
  2     53  PMG-SL  ManEst      2       1          D2B       58.83    470.00
  2     54  PMG-SL  ManEst      2       1          D1A       57.40    490.00
  2     55  PMG-SL  ManEst      2       1          D2A       56.67    220.00
  2     56  PMG-SL  ManEst      2       1          D1A       56.78    495.00
  2     57  PMG-SL  ManEst      2       1          D1B       60.74    240.00
  2     58  PMG-SL  ManEst      2       1          D2A       57.83    285.00
  2     59  PMG-SL  ManEst      2       1          D2B       56.15    235.00
  2     60  PMG-SL  ManEst      2       1          D2A       56.00    420.00
  2     61  PMG-SL  ManEst      2       1          D2A       57.71    325.00
  2     62  PMG-SL  ManEst      2       1          D2A       60.52    360.00
  2     63  PMG-SL  ManEst      2       1          D2A       57.88    305.00
  2     64  PMG-SL  ManEst      2       1          D2B       54.14    215.00
  2     65  PMG-SL  ManEst      3       1          D2A       52.89    290.00
  2     66  PMG-SL  ManEst      3       1          D1B       56.08    265.00
  2     67  PMG-SL  ManEst      3       1          D1A       56.50    345.00
  2     68  PMG-SL  ManEst      3       1          D1B       53.11    315.00
  2     69  PMG-SL  ManEst      3       1          D2A       56.77    260.00
  2     70  PMG-SL  ManEst      3       1          D1B       56.36    250.00
  2     71  PMG-SL  ManEst      3       1          D2A       61.80    270.00
  2     72  PMG-SL  ManEst      3       1          D1A       55.40    290.00
  2     73  PMG-SL  ManEst      3       1          D2B       55.45    235.00
  2     74  PMG-SL  ManEst      3       1          D2A       58.61    340.00
  2     75  PMG-SL  ManEst      3       1          D2A       54.73    285.00
  2     76  PMG-SL  ManEst      3       1          D2A       56.17    280.00
  2     77  PMG-SL  ManEst      3       1          D2B       58.14    280.00
  2     78  PMG-SL  ManEst      3       1          D2A       56.66    250.00
  2     79  PMG-SL  ManEst      3       1          D1B       52.93    295.00
  2     80  PMG-SL  ManEst      3       1          D1B       55.62    265.00
  2     81  PMG-SL  ManEst      3       1          D2B       52.89    200.00
  2     82  PMG-SL  ManEst      3       1          D1B       52.21    220.00
  2     83  PMG-SL  ManEst      3       1          D2B       54.62    285.00
  2     84  PMG-SL  ManEst      3       1          D1A       54.08    295.00
  2     85  PMG-SL  ManEst      3       1          D1A       54.37    365.00
  2     86  PMG-SL  ManEst      3       1          D1B       52.46    255.00
  2     87  PMG-SL  ManEst      3       1          D1A       51.95    265.00
  2     88  PMG-SL  ManEst      3       1          D2B       51.97    255.00
  2     89  PMG-SL  ManEst      3       1          D1B       50.27    230.00
  2     90  PMG-SL  ManEst      3       1          D1A       56.42    230.00
  2     91  PMG-SL  ManEst      3       1          D2B       52.26    265.00
  2     92  PMG-SL  ManEst      3       1          D1A       50.81    310.00
  2     93  PMG-SL  ManEst      3       1          D2B       54.51    225.00
  2     94  PMG-SL  ManEst      3       1          D2A       51.92    250.00
  2     95  PMG-SL  ManEst      3       1          D1A       53.43    210.00
  2     96  PMG-SL  ManEst      3       1          D2B       55.37    305.00
  2     97  PMG-SL  ManEst      4       1          D2A       50.38    300.00
  2     98  PMG-SL  ManEst      4       1          D1B       52.80    255.00
  2     99  PMG-SL  ManEst      4       1          D2A       57.53    255.00
  2    100  PMG-SL  ManEst      4       1          D1A       53.62    235.00
  2    101  PMG-SL  ManEst      4       1          D2B       55.86    155.00
  2    102  PMG-SL  ManEst      4       2          D2B       53.10    260.00
  2    103  PMG-SL  ManEst      4       2          D1A       45.71    265.00
  2    104  PMG-SL  ManEst      4       2          D1A       51.58    315.00
  2    105  PMG-SL  ManEst      4       2          D1B       56.98    250.00
  2    106  PMG-SL  ManEst      4       2          D2B       56.91    240.00
  2    107  PMG-SL  ManEst      4       2          D2B       55.40    280.00
  2    108  PMG-SL  ManEst      4       2          D2B       55.97    270.00
  2    109  PMG-SL  ManEst      4       2          D2A       56.69    265.00
  2    110  PMG-SL  ManEst      4       2          D1B       53.71    215.00
  2    111  PMG-SL  ManEst      4       3          D1B       53.48    265.00
  2    112  PMG-SL  ManEst      4       3          D2A       55.63    390.00
  2    113  PMG-SL  ManEst      4       3          D2B       57.86    330.00
  2    114  PMG-SL  ManEst      4       3          D2A       53.04    265.00
  2    115  PMG-SL  ManEst      4       3          D2A       57.05    280.00
  2    116  PMG-SL  ManEst      4       3          D2B       56.94    235.00
  2    117  PMG-SL  ManEst      4       3          D1A       53.16    240.00
  2    118  PMG-SL  ManEst      4       3          D1B       54.58    210.00
  2    119  PMG-SL  ManEst      4       3          D1A       57.78    415.00
  2    120  PMG-SL  ManEst      4       3          D1B       55.90    370.00
  2    121  PMG-SL  ManEst      4       3          D1B       57.00    235.00
  2    122  PMG-SL  ManEst      4       3          D1B       57.67    180.00
  2    123  PMG-SL  ManEst      4       3          D1A       57.39    250.00
  2    124  PMG-SL  ManEst      4       3          D1A       58.01    210.00
  2    125  PMG-SL  ManEst      4       3          D2A       57.06    220.00
  2    126  PMG-SL  ManEst      4       3          D2B       56.67    250.00
  2    127  PMG-SL  ManEst      4       3          D1A       56.83    160.00
  2    128  PMG-SL  ManEst      4       3          D2A       57.65    290.00
  3      1  MPG-SL  ManEst      1       0          D1B       60.56    355.00
  3      2  MPG-SL  ManEst      1       3          D2B       60.10    395.00
  3      3  MPG-SL  ManEst      1       3          D2B       62.26    405.00
  3      4  MPG-SL  ManEst      1       3          D2B       63.31    510.00
  3      5  MPG-SL  ManEst      1      15          D1B       61.01    315.00
  3      6  MPG-SL  ManEst      1      21          D2A       60.82    240.00
  3      7  MPG-SL  ManEst      1      24          D2B       60.61    265.00
  3      8  MPG-SL  ManEst      1      29          D1A       64.84    315.00
  3      9  MPG-SL  ManEst      1      29          D2A       64.80    420.00
  3     10  MPG-SL  ManEst      1      31          D1B       66.66    650.00
  3     11  MPG-SL  ManEst      1      36          D1B       61.09    280.00
  3     12  MPG-SL  ManEst      1      47          D1A       65.03    395.00
  3     13  MPG-SL  ManEst      1      47          D2A       63.20    580.00
  3     14  MPG-SL  ManEst      1      47          D1A       63.60    485.00
  3     15  MPG-SL  ManEst      1      47          D2B       66.23    285.00
  3     16  MPG-SL  ManEst      1      47          D2A       65.88    235.00
  3     17  MPG-SL  ManEst      1      47          D2B       67.10    315.00
  3     18  MPG-SL  ManEst      1      47          D2B       63.65    215.00
  3     19  MPG-SL  ManEst      1      47          D1B       64.15    375.00
  3     20  MPG-SL  ManEst      1      47          D2B       66.45    450.00
  3     21  MPG-SL  ManEst      1      47          D1A       64.83    210.00
  3     22  MPG-SL  ManEst      1      47          D2A       64.53    250.00
  3     23  MPG-SL  ManEst      1      47          D1B       64.17    310.00
  3     24  MPG-SL  ManEst      1      47          D1A       62.60    195.00
  3     25  MPG-SL  ManEst      1      47          D1A       62.27    355.00
  3     26  MPG-SL  ManEst      1      47          D1A       60.12    255.00
  3     27  MPG-SL  ManEst      1      47          D2A       59.27    160.00
  3     28  MPG-SL  ManEst      1      47          D2A       59.21    460.00
  3     29  MPG-SL  ManEst      1      47          D1A       61.80    295.00
  3     30  MPG-SL  ManEst      1      47          D1B       65.57    440.00
  3     31  MPG-SL  ManEst      1      47          D1B       60.46    355.00
  3     32  MPG-SL  ManEst      1      47          D2A       64.12    570.00
  3     33  MPG-SL  ManEst      2      47          D1B       60.26    190.00
  3     34  MPG-SL  ManEst      2      47          D2A       61.58    235.00
  3     35  MPG-SL  ManEst      2      47          D1A       63.35    260.00
  3     36  MPG-SL  ManEst      2      47          D2B       66.21    315.00
  3     37  MPG-SL  ManEst      2      47          D2A       62.54    285.00
  3     38  MPG-SL  ManEst      2      47          D1B       67.60    250.00
  3     39  MPG-SL  ManEst      2      47          D1B       64.35    220.00
  3     40  MPG-SL  ManEst      2      47          D1B       61.99    330.00
  3     41  MPG-SL  ManEst      2      48          D1B       61.72    285.00
  3     42  MPG-SL  ManEst      2      48          D1A       63.83    305.00
  3     43  MPG-SL  ManEst      2      48          D2A       60.53    315.00
  3     44  MPG-SL  ManEst      2      48          D2B       62.59    370.00
  3     45  MPG-SL  ManEst      2      48          D2A       62.66    355.00
  3     46  MPG-SL  ManEst      2      49          D1B       64.62    305.00
  3     47  MPG-SL  ManEst      2      49          D1A       64.53    440.00
  3     48  MPG-SL  ManEst      2      49          D1B       63.31    480.00
  3     49  MPG-SL  ManEst      2      49          D1A       64.40    535.00
  3     50  MPG-SL  ManEst      2      49          D1B       63.11    245.00
  3     51  MPG-SL  ManEst      2      49          D2B       60.23    630.00
  3     52  MPG-SL  ManEst      2      49          D1A       61.85    345.00
  3     53  MPG-SL  ManEst      2      49          D2A       63.60    225.00
  3     54  MPG-SL  ManEst      2      49          D2A       64.92    275.00
  3     55  MPG-SL  ManEst      2      49          D2A       61.67    450.00
  3     56  MPG-SL  ManEst      2      49          D2A       61.45    380.00
  3     57  MPG-SL  ManEst      2      49          D2B       62.95    475.00
  3     58  MPG-SL  ManEst      2      49          D2B       61.42    350.00
  3     59  MPG-SL  ManEst      2      49          D2B       63.39    240.00
  3     60  MPG-SL  ManEst      2      49          D1A       64.92    275.00
  3     61  MPG-SL  ManEst      2      49          D2B       65.66    285.00
  3     62  MPG-SL  ManEst      2      49          D1A       59.88     90.00
  3     63  MPG-SL  ManEst      2      50          D1A       63.23    235.00
  3     64  MPG-SL  ManEst      2      50          D2B       63.11    315.00
  3     65  MPG-SL  ManEst      3      50          D1B       63.36    290.00
