Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT  G12MaxAp FGApApproved
  2     52 MGPE-SL   Grasp      2       1          D1A    82.20    230.00     62.07            1
  2     53 MGPE-SL   Grasp      2       1          D2B    79.83    280.00     59.71            1
  2     54 MGPE-SL   Grasp      2       1          D2A    83.38    275.00     63.26            1
  2     55 MGPE-SL   Grasp      2       1          D1A    75.98    435.00     55.85            1
  2     56 MGPE-SL   Grasp      2       1          D1A    80.20    400.00     60.07            1
  2     57 MGPE-SL   Grasp      2       1          D2A    80.94    265.00     60.82            1
  2     58 MGPE-SL   Grasp      2       1          D1B    85.81    220.00     65.68            1
  2     59 MGPE-SL   Grasp      2       1          D1A    82.65    265.00     62.53            1
  2     60 MGPE-SL   Grasp      2       1          D2A    82.62    340.00     62.50            1
  2     61 MGPE-SL   Grasp      2       1          D2A    78.39    290.00     58.27            1
  2     62 MGPE-SL   Grasp      2       1          D2A    76.75    290.00     56.62            1
  2     63 MGPE-SL   Grasp      2       1          D2A    74.87    330.00     54.74            1
  2     64 MGPE-SL   Grasp      2       1          D1B    76.76    370.00     56.64            1
  2     65 MGPE-SL   Grasp      3       1          D1B    77.96    415.00     57.84            1
  2     66 MGPE-SL   Grasp      3       1          D1A    79.49    410.00     59.37            1
  2     67 MGPE-SL   Grasp      3       1          D1A    80.03    355.00     59.91            1
  2     68 MGPE-SL   Grasp      3       1          D2B    79.58    270.00     59.46            1
  2     69 MGPE-SL   Grasp      3       1          D1B    76.04    295.00     55.92            1
  2     70 MGPE-SL   Grasp      3       1          D1A    79.15    300.00     59.03            1
  2     71 MGPE-SL   Grasp      3       1          D1B    87.11    245.00     66.98            1
  2     72 MGPE-SL   Grasp      3       1          D1B    80.37    370.00     60.25            1
  2     73 MGPE-SL   Grasp      3       1          D2B    78.13    325.00     58.01            1
  2     74 MGPE-SL   Grasp      3       1          D2B    79.39    300.00     59.26            1
  2     75 MGPE-SL   Grasp      3       1          D2A    80.26    310.00     60.13            1
  2     76 MGPE-SL   Grasp      3       1          D2A    79.02    450.00     58.90            1
  2     77 MGPE-SL   Grasp      3       1          D1A    78.82    400.00     58.69            1
  2     78 MGPE-SL   Grasp      3       1          D1A    84.86    260.00     64.73            1
  2     79 MGPE-SL   Grasp      3       1          D1B    78.97    325.00     58.84            1
  2     80 MGPE-SL   Grasp      3       1          D2B    79.30    275.00     59.17            1
  2     81 MGPE-SL   Grasp      3       1          D1B    81.14    240.00     61.01            1
  2     82 MGPE-SL   Grasp      3       1          D2B    85.15    335.00     65.03            1
  2     83 MGPE-SL   Grasp      3       1          D1A    77.98    230.00     57.86            1
  2     84 MGPE-SL   Grasp      3       1          D2B    85.41    240.00     65.29            1
  2     85 MGPE-SL   Grasp      3       1          D2B    81.49    230.00     61.36            1
  2     86 MGPE-SL   Grasp      3       1          D1B    82.31    380.00     62.19            1
  2     87 MGPE-SL   Grasp      3       1          D2A    87.56    335.00     67.43            1
  2     88 MGPE-SL   Grasp      3       1          D1A    85.85    340.00     65.73            1
  2     89 MGPE-SL   Grasp      3       1          D2A    79.02    320.00     58.90            1
  2     90 MGPE-SL   Grasp      3       1          D2A    90.46    305.00     70.34            1
  2     91 MGPE-SL   Grasp      3       1          D2A    84.60    250.00     64.48            1
  2     92 MGPE-SL   Grasp      3       1          D2B    88.02    260.00     67.90            1
  2     93 MGPE-SL   Grasp      3       1          D2A    84.45    265.00     64.33            1
  2     94 MGPE-SL   Grasp      3       1          D2A    83.58    320.00     63.45            1
  2     95 MGPE-SL   Grasp      3       1          D1A    75.24    335.00     55.11            1
  2     96 MGPE-SL   Grasp      3       1          D1B    82.35    285.00     62.22            1
  2     97 MGPE-SL   Grasp      4       1          D2A    75.17    375.00     55.00            1
  2     98 MGPE-SL   Grasp      4       1          D2A    73.86    340.00     53.68            1
  2     99 MGPE-SL   Grasp      4       1          D1B    78.26    275.00     58.09            1
  2    100 MGPE-SL   Grasp      4       1          D2B    76.20    345.00     56.02            1
  2    101 MGPE-SL   Grasp      4       1          D2A    80.43    360.00     60.26            1
  2    102 MGPE-SL   Grasp      4       1          D2B    79.03    275.00     58.85            1
  2    103 MGPE-SL   Grasp      4       1          D2B    77.49    315.00     57.31            1
  2    104 MGPE-SL   Grasp      4       1          D1B    78.70    365.00     58.52            1
  2    105 MGPE-SL   Grasp      4       1          D1A    86.27    300.00     66.09            1
  2    106 MGPE-SL   Grasp      4       1          D2B    82.62    345.00     62.45            1
  2    107 MGPE-SL   Grasp      4       1          D1B    76.77    425.00     56.60            1
  2    108 MGPE-SL   Grasp      4       1          D1A    77.26    320.00     57.08            1
  2    109 MGPE-SL   Grasp      4       1          D1B    83.02    255.00     62.84            1
  2    110 MGPE-SL   Grasp      4       1          D2A    80.79    345.00     60.62            1
  2    111 MGPE-SL   Grasp      4       1          D1B    75.83    365.00     55.66            1
  2    112 MGPE-SL   Grasp      4       1          D2A    76.38    275.00     56.21            1
  2    113 MGPE-SL   Grasp      4       1          D2B    79.11    290.00     58.94            1
  2    114 MGPE-SL   Grasp      4       1          D2B    74.34    340.00     54.17            1
  2    115 MGPE-SL   Grasp      4       1          D1A    79.22    340.00     59.05            1
  2    116 MGPE-SL   Grasp      4       1          D1B    78.05    440.00     57.88            1
  2    117 MGPE-SL   Grasp      4       1          D1A    81.32    300.00     61.15            1
  2    118 MGPE-SL   Grasp      4       2          D2A    77.68    260.00     57.51            1
  2    119 MGPE-SL   Grasp      4       2          D1B    78.53    240.00     58.36            1
  2    120 MGPE-SL   Grasp      4       2          D1B    78.96    225.00     58.79            1
  2    121 MGPE-SL   Grasp      4       2          D2B    74.34    435.00     54.17            1
  2    122 MGPE-SL   Grasp      4       2          D1A    76.43    455.00     56.26            1
  2    123 MGPE-SL   Grasp      4       2          D2A    73.86    290.00     53.69            1
  2    124 MGPE-SL   Grasp      4       2          D2B    77.25    275.00     57.07            1
  2    125 MGPE-SL   Grasp      4       2          D1A    73.61    350.00     53.44            1
  2    126 MGPE-SL   Grasp      4       2          D2A    78.30    275.00     58.13            1
  2    127 MGPE-SL   Grasp      4       2          D1A    74.94    455.00     54.76            1
  2    128 MGPE-SL   Grasp      4       2          D1A    76.84    320.00     56.67            1
  3      1 GPME-SL   Grasp      1       0          D1B    71.01    225.00     53.87            1
  3      2 GPME-SL   Grasp      1       0          D1B    67.36    250.00     50.22            1
  3      3 GPME-SL   Grasp      1       0          D1B    69.28    285.00     52.14            1
  3      4 GPME-SL   Grasp      1       0          D2B    70.29    320.00     53.15            1
  3      5 GPME-SL   Grasp      1       0          D1B    72.71    275.00     55.57            1
  3      6 GPME-SL   Grasp      1       0          D2A    67.45    275.00     50.31            1
  3      7 GPME-SL   Grasp      1       0          D1A    74.33    220.00     57.19            1
  3      8 GPME-SL   Grasp      1       0          D2B    65.43    255.00     48.29            1
  3      9 GPME-SL   Grasp      1       0          D2A    70.31    325.00     53.17            1
  3     10 GPME-SL   Grasp      1       0          D2A    66.00    360.00     48.85            1
  3     11 GPME-SL   Grasp      1       0          D1A    77.58    450.00     60.44            1
  3     12 GPME-SL   Grasp      1       0          D2B    74.93    240.00     57.79            1
  3     13 GPME-SL   Grasp      1       0          D2A    72.49    245.00     55.35            1
  3     14 GPME-SL   Grasp      1       0          D2B    66.13    245.00     48.99            1
  3     15 GPME-SL   Grasp      1       0          D1A    67.47    265.00     50.33            1
  3     16 GPME-SL   Grasp      1       0          D2B    72.42    305.00     55.28            1
  3     17 GPME-SL   Grasp      1       0          D2B    71.69    245.00     54.55            1
  3     18 GPME-SL   Grasp      1       0          D2A    74.33    245.00     57.19            1
  3     19 GPME-SL   Grasp      1       0          D1B    74.70    235.00     57.56            1
  3     20 GPME-SL   Grasp      1       0          D1A    68.90    275.00     51.76            1
  3     21 GPME-SL   Grasp      1       0          D1B    68.75    245.00     51.61            1
  3     22 GPME-SL   Grasp      1       0          D2A    74.70    255.00     57.55            1
  3     23 GPME-SL   Grasp      1       0          D1A    77.62    235.00     60.48            1
  3     24 GPME-SL   Grasp      1       0          D2B    73.72    235.00     56.58            1
  3     25 GPME-SL   Grasp      1       0          D1B    70.57    225.00     53.43            1
  3     26 GPME-SL   Grasp      1       0          D2A    66.67    275.00     49.53            1
  3     27 GPME-SL   Grasp      1       0          D1A    68.93    270.00     51.79            1
  3     28 GPME-SL   Grasp      1       0          D1A    71.53    265.00     54.39            1
  3     29 GPME-SL   Grasp      1       0          D1A    70.16    230.00     53.02            1
  3     30 GPME-SL   Grasp      1       0          D1B    77.70    255.00     60.56            1
  3     31 GPME-SL   Grasp      1       0          D2B    67.86    270.00     50.72            1
  3     32 GPME-SL   Grasp      1       0          D2A    67.20    330.00     50.05            1
  3     33 GPME-SL   Grasp      2       0          D2A    73.64    535.00     55.82            1
  3     34 GPME-SL   Grasp      2       0          D2A    74.47    285.00     56.66            1
  3     35 GPME-SL   Grasp      2       0          D1A    74.70    205.00     56.88            1
  3     36 GPME-SL   Grasp      2       0          D1B    64.38    250.00     46.56            1
  3     37 GPME-SL   Grasp      2       0          D2A    68.77    285.00     50.95            1
  3     38 GPME-SL   Grasp      2       0          D2A    69.39    255.00     51.58            1
  3     39 GPME-SL   Grasp      2       0          D2B    71.36    295.00     53.55            1
  3     40 GPME-SL   Grasp      2       0          D2B    69.16    310.00     51.34            1
  3     41 GPME-SL   Grasp      2       0          D1B    69.58    260.00     51.76            1
  3     42 GPME-SL   Grasp      2       0          D2B    70.29    315.00     52.47            1
  3     43 GPME-SL   Grasp      2       0          D2B    80.47    190.00     62.65            1
  3     44 GPME-SL   Grasp      2       0          D1A    71.80    210.00     53.99            1
  3     45 GPME-SL   Grasp      2       0          D1B    69.60    220.00     51.79            1
  3     46 GPME-SL   Grasp      2       0          D1B    67.80    225.00     49.99            1
  3     47 GPME-SL   Grasp      2       0          D2A    67.26    215.00     49.44            1
  3     48 GPME-SL   Grasp      2       0          D1A    65.60    225.00     47.79            1
  3     49 GPME-SL   Grasp      2       0          D2B    67.33    220.00     49.51            1
  3     50 GPME-SL   Grasp      2       1          D1B    72.65    230.00     54.83            1
  3     51 GPME-SL   Grasp      2       1          D1A    72.19    285.00     54.37            1
  3     52 GPME-SL   Grasp      2       1          D2B    68.48    255.00     50.67            1
  3     53 GPME-SL   Grasp      2       1          D2A    72.07    255.00     54.26            1
  3     54 GPME-SL   Grasp      2       1          D1B    73.86    225.00     56.04            1
  3     55 GPME-SL   Grasp      2       1          D1A    68.69    270.00     50.87            1
  3     56 GPME-SL   Grasp      2       1          D1B    69.14    270.00     51.32            1
  3     57 GPME-SL   Grasp      2       1          D2B    73.35    255.00     55.54            1
  3     58 GPME-SL   Grasp      2       1          D2A    70.46    250.00     52.64            1
  3     59 GPME-SL   Grasp      2       1          D1A    73.47    215.00     55.65            1
  3     60 GPME-SL   Grasp      2       1          D1A    76.20    215.00     58.39            1
  3     61 GPME-SL   Grasp      2       1          D2A    71.27    240.00     53.46            1
  3     62 GPME-SL   Grasp      2       1          D2B    65.72    215.00     47.90            1
  3     63 GPME-SL   Grasp      2       1          D1A    74.29    225.00     56.47            1
  3     64 GPME-SL   Grasp      2       1          D1B    79.79    210.00     61.97            1
  3     65 GPME-SL   Grasp      3       1          D2A    80.78    310.00     62.97            1
  3     66 GPME-SL   Grasp      3       1          D1A    72.40    250.00     54.58            1
  3     67 GPME-SL   Grasp      3       1          D2B    78.72    225.00     60.90            1
  3     68 GPME-SL   Grasp      3       1          D2A    77.01    265.00     59.19            1
  3     69 GPME-SL   Grasp      3       1          D1A    74.81    225.00     56.99            1
  3     70 GPME-SL   Grasp      3       1          D2A    71.30    235.00     53.48            1
  3     71 GPME-SL   Grasp      3       1          D1B    75.87    230.00     58.05            1
  3     72 GPME-SL   Grasp      3       1          D1A    74.91    230.00     57.09            1
  3     73 GPME-SL   Grasp      3       1          D2B    70.68    260.00     52.87            1
  3     74 GPME-SL   Grasp      3       1          D2A    74.14    210.00     56.32            1
  3     75 GPME-SL   Grasp      3       1          D1B    70.29    230.00     52.47            1
  3     76 GPME-SL   Grasp      3       1          D2B    68.98    230.00     51.16            1
  3     77 GPME-SL   Grasp      3       1          D2A    73.92    300.00     56.11            1
  3     78 GPME-SL   Grasp      3       1          D1B    69.40    220.00     51.58            1
  3     79 GPME-SL   Grasp      3       1          D1B    73.32    225.00     55.51            1
  3     80 GPME-SL   Grasp      3       1          D2B    75.20    285.00     57.38            1
  3     81 GPME-SL   Grasp      3       1          D2B    81.86    220.00     64.04            1
  3     82 GPME-SL   Grasp      3       1          D1A    73.41    205.00     55.59            1
  3     83 GPME-SL   Grasp      3       1          D2B    76.66    225.00     58.84            1
  3     84 GPME-SL   Grasp      3       1          D1B    67.65    225.00     49.83            1
  3     85 GPME-SL   Grasp      3       1          D1A    70.91    220.00     53.09            1
  3     86 GPME-SL   Grasp      3       1          D2B    70.32    215.00     52.50            1
  3     87 GPME-SL   Grasp      3       1          D2A    70.78    260.00     52.97            1
