Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT  G12MaxAp
  2     30  PMG-SL   Grasp      1       0          D1B    65.39    255.00     47.27
  2     31  PMG-SL   Grasp      1       0          D2A    67.85    250.00     49.74
  2     32  PMG-SL   Grasp      1       0          D1A    68.36    205.00     50.24
  2     33  PMG-SL   Grasp      2       0          D2B    67.96    385.00     50.28
  2     34  PMG-SL   Grasp      2       0          D2B    69.40    435.00     51.72
  2     35  PMG-SL   Grasp      2       0          D2A    64.26    320.00     46.58
  2     36  PMG-SL   Grasp      2       0          D1B    68.00    365.00     50.32
  2     37  PMG-SL   Grasp      2       0          D2A    68.79    245.00     51.11
  2     38  PMG-SL   Grasp      2       0          D2A    65.42    245.00     47.74
  2     39  PMG-SL   Grasp      2       0          D2B    65.44    150.00     47.75
  2     40  PMG-SL   Grasp      2       0          D1A    67.88    235.00     50.20
  2     41  PMG-SL   Grasp      2       0          D2B    65.05    165.00     47.37
  2     42  PMG-SL   Grasp      2       0          D2B    65.19    350.00     47.51
  2     43  PMG-SL   Grasp      2       0          D1B    70.37    210.00     52.69
  2     44  PMG-SL   Grasp      2       0          D1B    63.57    360.00     45.88
  2     45  PMG-SL   Grasp      2       0          D2A    65.34    315.00     47.66
  2     46  PMG-SL   Grasp      2       0          D1B    64.27    410.00     46.58
  2     47  PMG-SL   Grasp      2       0          D1A    64.22    310.00     46.54
  2     48  PMG-SL   Grasp      2       0          D2B    64.21    230.00     46.53
  2     49  PMG-SL   Grasp      2       0          D2B    65.76    325.00     48.07
  2     50  PMG-SL   Grasp      2       0          D2A    67.91    305.00     50.23
  2     51  PMG-SL   Grasp      2       0          D1B    63.96    295.00     46.28
  2     52  PMG-SL   Grasp      2       0          D1A    68.41    250.00     50.72
  2     53  PMG-SL   Grasp      2       0          D2A    69.43    425.00     51.75
  2     54  PMG-SL   Grasp      2       0          D1B    67.78    300.00     50.09
  2     55  PMG-SL   Grasp      2       0          D1A    66.75    370.00     49.07
  2     56  PMG-SL   Grasp      2       0          D1B    69.32    240.00     51.64
  2     57  PMG-SL   Grasp      2       0          D1A    64.76    275.00     47.08
  2     58  PMG-SL   Grasp      2       0          D1A    66.05    285.00     48.36
  2     59  PMG-SL   Grasp      2       0          D1A    71.82    115.00     54.14
  2     60  PMG-SL   Grasp      2       0          D2A    69.59    345.00     51.90
  2     61  PMG-SL   Grasp      2       0          D1B    71.48    285.00     53.80
  2     62  PMG-SL   Grasp      2       0          D2A    66.25    230.00     48.57
  2     63  PMG-SL   Grasp      2       0          D1A    70.08    275.00     52.40
  2     64  PMG-SL   Grasp      2       0          D2B    69.14    275.00     51.46
  2     65  PMG-SL   Grasp      3       0          D1A    70.49    280.00     52.84
  2     66  PMG-SL   Grasp      3       0          D2A    69.52    305.00     51.88
  2     67  PMG-SL   Grasp      3       0          D1B    67.21    260.00     49.56
  2     68  PMG-SL   Grasp      3       0          D1B    64.77    200.00     47.12
  2     69  PMG-SL   Grasp      3       0          D2A    67.92    190.00     50.27
  2     70  PMG-SL   Grasp      3       0          D2A    72.65    245.00     55.00
  2     71  PMG-SL   Grasp      3       0          D2A    67.27    300.00     49.62
  2     72  PMG-SL   Grasp      3       0          D1B    67.59    390.00     49.95
  2     73  PMG-SL   Grasp      3       0          D2A    68.21    340.00     50.56
  2     74  PMG-SL   Grasp      3       0          D1B    69.38    355.00     51.73
  2     75  PMG-SL   Grasp      3       0          D1A    67.49    490.00     49.84
  2     76  PMG-SL   Grasp      3       0          D2B    68.89    295.00     51.25
  2     77  PMG-SL   Grasp      3       0          D1A    74.62    320.00     56.98
  2     78  PMG-SL   Grasp      3       0          D1A    71.97    395.00     54.33
  2     79  PMG-SL   Grasp      3       0          D1B    70.61    315.00     52.96
  2     80  PMG-SL   Grasp      3       0          D1B    68.05    285.00     50.41
  2     81  PMG-SL   Grasp      3       0          D2B    62.07    400.00     44.43
  2     82  PMG-SL   Grasp      3       0          D2B    68.90    255.00     51.25
  2     83  PMG-SL   Grasp      3       0          D2B    70.03    345.00     52.39
  2     84  PMG-SL   Grasp      3       0          D1A    68.70    325.00     51.06
  2     85  PMG-SL   Grasp      3       0          D1A    69.73    290.00     52.09
  2     86  PMG-SL   Grasp      3       0          D2A    71.05    295.00     53.40
  2     87  PMG-SL   Grasp      3       0          D2B    70.53    275.00     52.88
  2     88  PMG-SL   Grasp      3       0          D2B    72.94    290.00     55.29
  2     89  PMG-SL   Grasp      3       0          D2B    69.42    295.00     51.77
  2     90  PMG-SL   Grasp      3       0          D1B    69.39    305.00     51.74
  2     91  PMG-SL   Grasp      3       0          D2A    69.53    400.00     51.88
  2     92  PMG-SL   Grasp      3       0          D2B    67.90    340.00     50.26
  2     93  PMG-SL   Grasp      3       0          D2A    66.18    310.00     48.54
  2     94  PMG-SL   Grasp      3       0          D1B    70.05    430.00     52.41
  2     95  PMG-SL   Grasp      3       0          D1A    63.77    360.00     46.12
  2     96  PMG-SL   Grasp      3       0          D1A    68.07    260.00     50.43
  2     97  PMG-SL   Grasp      4       0          D1B    72.27    380.00     54.78
  2     98  PMG-SL   Grasp      4       0          D1A    68.05    260.00     50.55
  2     99  PMG-SL   Grasp      4       0          D1B    66.59    300.00     49.10
  2    100  PMG-SL   Grasp      4       0          D2A    70.19    375.00     52.70
  2    101  PMG-SL   Grasp      4       0          D1A    59.88    345.00     42.39
  2    102  PMG-SL   Grasp      4       0          D2A    66.15    290.00     48.65
  2    103  PMG-SL   Grasp      4       0          D2B    66.18    380.00     48.69
  2    104  PMG-SL   Grasp      4       0          D2A    67.29    265.00     49.79
  2    105  PMG-SL   Grasp      4       0          D2B    65.91    265.00     48.41
  2    106  PMG-SL   Grasp      4       0          D2A    66.02    295.00     48.53
  2    107  PMG-SL   Grasp      4       0          D1A    63.61    330.00     46.12
  2    108  PMG-SL   Grasp      4       0          D1A    69.03    375.00     51.54
  2    109  PMG-SL   Grasp      4       0          D2A    69.22    285.00     51.72
  2    110  PMG-SL   Grasp      4       0          D2B    71.09    315.00     53.59
  2    111  PMG-SL   Grasp      4       0          D1B    68.68    325.00     51.18
  2    112  PMG-SL   Grasp      4       0          D2B    66.55    215.00     49.06
  2    113  PMG-SL   Grasp      4       0          D2B    65.38    300.00     47.88
  2    114  PMG-SL   Grasp      4       0          D1A    68.17    305.00     50.68
  2    115  PMG-SL   Grasp      4       0          D1B    66.49    330.00     48.99
  2    116  PMG-SL   Grasp      4       0          D1B    66.27    395.00     48.77
  2    117  PMG-SL   Grasp      4       0          D1B    70.79    300.00     53.29
  2    118  PMG-SL   Grasp      4       0          D2A    70.56    260.00     53.06
  2    119  PMG-SL   Grasp      4       0          D2B    70.62    210.00     53.13
  2    120  PMG-SL   Grasp      4       0          D1A    68.57    245.00     51.08
  2    121  PMG-SL   Grasp      4       0          D1A    67.07    265.00     49.58
  2    122  PMG-SL   Grasp      4       0          D1B    70.03    235.00     52.54
  2    123  PMG-SL   Grasp      4       0          D2B    71.60    210.00     54.11
  2    124  PMG-SL   Grasp      4       0          D2B    67.21    225.00     49.71
  2    125  PMG-SL   Grasp      4       0          D2A    66.01    255.00     48.52
  2    126  PMG-SL   Grasp      4       0          D1A    68.77    275.00     51.28
  2    127  PMG-SL   Grasp      4       0          D1B    67.21    290.00     49.71
  2    128  PMG-SL   Grasp      4       0          D2A    68.83    305.00     51.33
  3      1  MPG-SL   Grasp      1       0          D1B    81.44    395.00     61.84
  3      2  MPG-SL   Grasp      1       0          D1B    71.63    315.00     52.03
  3      3  MPG-SL   Grasp      1       0          D1B    70.67    350.00     51.07
  3      4  MPG-SL   Grasp      1       0          D1A    82.37    350.00     62.76
  3      5  MPG-SL   Grasp      1       0          D2B    77.66    230.00     58.05
  3      6  MPG-SL   Grasp      1       0          D2A    78.68    390.00     59.08
  3      7  MPG-SL   Grasp      1       0          D1B    77.88    410.00     58.27
  3      8  MPG-SL   Grasp      1       0          D2B    78.39    310.00     58.79
  3      9  MPG-SL   Grasp      1       0          D2B    85.25    320.00     65.65
  3     10  MPG-SL   Grasp      1       0          D1A    81.29    355.00     61.68
  3     11  MPG-SL   Grasp      1       0          D1A    74.55    425.00     54.95
  3     12  MPG-SL   Grasp      1       0          D2B    82.57    255.00     62.97
  3     13  MPG-SL   Grasp      1       0          D2B    85.06    255.00     65.46
  3     14  MPG-SL   Grasp      1       0          D2B    81.24    390.00     61.64
  3     15  MPG-SL   Grasp      1       0          D1A    89.07    320.00     69.47
  3     16  MPG-SL   Grasp      1       0          D2A    80.34    305.00     60.74
  3     17  MPG-SL   Grasp      1       1          D2A    79.52    415.00     59.91
  3     18  MPG-SL   Grasp      1       1          D2A    88.06    570.00     68.46
  3     19  MPG-SL   Grasp      1       1          D1B    85.89    300.00     66.29
  3     20  MPG-SL   Grasp      1       1          D2B    83.86    330.00     64.26
  3     21  MPG-SL   Grasp      1       1          D1A    87.88    555.00     68.28
  3     22  MPG-SL   Grasp      1       3          D2A    74.83    400.00     55.23
  3     23  MPG-SL   Grasp      1       3          D2A    87.73    265.00     68.13
  3     24  MPG-SL   Grasp      1       3          D2B    75.32    250.00     55.72
  3     25  MPG-SL   Grasp      1       3          D1B    78.92    260.00     59.32
  3     26  MPG-SL   Grasp      1       3          D2A    77.90    205.00     58.30
  3     27  MPG-SL   Grasp      1       3          D1B    82.26    235.00     62.66
  3     28  MPG-SL   Grasp      1       3          D2A    81.98    365.00     62.38
  3     29  MPG-SL   Grasp      1       3          D1B    70.93    490.00     51.33
  3     30  MPG-SL   Grasp      1       3          D1A    76.79    240.00     57.19
  3     31  MPG-SL   Grasp      1       3          D1A    79.58    555.00     59.97
  3     32  MPG-SL   Grasp      1       3          D1A    77.68    230.00     58.07
  3     33  MPG-SL   Grasp      2       3          D1B    82.03    255.00     62.64
  3     34  MPG-SL   Grasp      2       3          D1A    78.89    340.00     59.50
  3     35  MPG-SL   Grasp      2       3          D2B    77.62    225.00     58.22
  3     36  MPG-SL   Grasp      2       3          D1B    76.49    190.00     57.09
  3     37  MPG-SL   Grasp      2       3          D2A    76.21    215.00     56.82
  3     38  MPG-SL   Grasp      2       3          D1B    77.05    225.00     57.66
  3     39  MPG-SL   Grasp      2       3          D2B    78.23    215.00     58.83
  3     40  MPG-SL   Grasp      2       3          D2B    78.11    270.00     58.71
  3     41  MPG-SL   Grasp      2       3          D1B    74.38    290.00     54.98
  3     42  MPG-SL   Grasp      2       3          D1A    80.57    380.00     61.17
  3     43  MPG-SL   Grasp      2       3          D1B    80.66    290.00     61.26
  3     44  MPG-SL   Grasp      2       3          D2A    73.30    230.00     53.91
  3     45  MPG-SL   Grasp      2       3          D2B    76.14    265.00     56.75
  3     46  MPG-SL   Grasp      2       3          D1A    74.41    420.00     55.01
  3     47  MPG-SL   Grasp      2       3          D2A    79.87    240.00     60.48
  3     48  MPG-SL   Grasp      2       3          D1B    79.64    275.00     60.24
  3     49  MPG-SL   Grasp      2       3          D1A    81.45    300.00     62.06
  3     50  MPG-SL   Grasp      2       3          D2A    81.16    265.00     61.76
  3     51  MPG-SL   Grasp      2       3          D2B    77.95    220.00     58.55
  3     52  MPG-SL   Grasp      2       3          D2A    82.62    210.00     63.23
  3     53  MPG-SL   Grasp      2       3          D1A    77.48    315.00     58.08
  3     54  MPG-SL   Grasp      2       3          D1A    77.05    260.00     57.66
  3     55  MPG-SL   Grasp      2       3          D2A    75.08    305.00     55.68
  3     56  MPG-SL   Grasp      2       3          D2A    77.62    320.00     58.23
  3     57  MPG-SL   Grasp      2       3          D1A    80.89    210.00     61.49
  3     58  MPG-SL   Grasp      2       3          D1B    83.62    330.00     64.23
  3     59  MPG-SL   Grasp      2       3          D2B    77.42    245.00     58.03
  3     60  MPG-SL   Grasp      2       3          D1A    79.67    340.00     60.27
  3     61  MPG-SL   Grasp      2       3          D1B    81.41    190.00     62.02
  3     62  MPG-SL   Grasp      2       3          D2B    78.64    205.00     59.24
  3     63  MPG-SL   Grasp      2       3          D2B    77.48    245.00     58.08
  3     64  MPG-SL   Grasp      2       3          D2A    75.65    250.00     56.26
  3     65  MPG-SL   Grasp      3       3          D1B    78.49    350.00     60.05
  3     66  MPG-SL   Grasp      3       3          D2B    76.31    215.00     57.86
  3     67  MPG-SL   Grasp      3       3          D2B    77.60    275.00     59.15
  3     68  MPG-SL   Grasp      3       3          D1B    86.35    240.00     67.90
  3     69  MPG-SL   Grasp      3       4          D1B    73.11    330.00     54.67
  3     70  MPG-SL   Grasp      3       4          D1B    71.21    215.00     52.77
  3     71  MPG-SL   Grasp      3       4          D2B    83.06    215.00     64.61
  3     72  MPG-SL   Grasp      3       4          D2A    78.00    335.00     59.56
  3     73  MPG-SL   Grasp      3       4          D2A    78.62    340.00     60.18
  3     74  MPG-SL   Grasp      3       4          D1A    75.06    305.00     56.62
  3     75  MPG-SL   Grasp      3       5          D2B    83.73    405.00     65.29
  3     76  MPG-SL   Grasp      3       5          D2A    73.81    335.00     55.37
  3     77  MPG-SL   Grasp      3       5          D2B    77.55    275.00     59.11
  3     78  MPG-SL   Grasp      3       5          D1A    75.17    265.00     56.73
  3     79  MPG-SL   Grasp      3       5          D2A    72.53    320.00     54.09
  3     80  MPG-SL   Grasp      3       5          D2A    84.29    265.00     65.84
  3     81  MPG-SL   Grasp      3       5          D1A    83.07    460.00     64.63
  3     82  MPG-SL   Grasp      3       5          D1A    77.64    420.00     59.20
  3     83  MPG-SL   Grasp      3       5          D2B    86.56    340.00     68.12
  3     84  MPG-SL   Grasp      3       5          D1B    80.21    270.00     61.76
  3     85  MPG-SL   Grasp      3       5          D1B    74.88    260.00     56.44
  3     86  MPG-SL   Grasp      3       5          D1B    82.14    250.00     63.69
  3     87  MPG-SL   Grasp      3       5          D2A    85.85    280.00     67.41
  3     88  MPG-SL   Grasp      3       5          D1A    73.14    265.00     54.69
  3     89  MPG-SL   Grasp      3       5          D2B    79.78    245.00     61.34
  3     90  MPG-SL   Grasp      3       5          D1B    79.90    320.00     61.46
  3     91  MPG-SL   Grasp      3       5          D1A    74.11    215.00     55.67
  3     92  MPG-SL   Grasp      3       5          D1A    72.25    220.00     53.81
  3     93  MPG-SL   Grasp      3       5          D2A    74.22    245.00     55.78
  3     94  MPG-SL   Grasp      3       5          D2A    73.75    200.00     55.30
  3     95  MPG-SL   Grasp      3       5          D1A    75.51    290.00     57.07
  3     96  MPG-SL   Grasp      3       5          D2B    74.90    220.00     56.46
