Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst    ManEstTime    G12FGAp        RT       MT    GGManEst    GGManEstTime      GGRT
  1     77  PMG-SL  ManEst      3      17          D1B       57.56       1609.01      58.61    390.00  1219.01       55.41         1020.00    385.00
  1     78  PMG-SL  ManEst      3      17          D1B       54.57       1352.25      57.90    375.00   977.25       55.79          825.00    360.00
  1     79  PMG-SL  ManEst      3      17          D2B       55.99       1812.97      58.31    495.00  1317.97       56.54         1645.00    505.00
  1     80  PMG-SL  ManEst      3      17          D2B       57.95       1598.06      59.03    320.00  1278.06       57.98         1605.00    325.00
  1     81  PMG-SL  ManEst      3      17          D1B       57.67       1358.21      57.48    240.00  1118.21       58.60         1155.00    250.00
  1     82  PMG-SL  ManEst      3      17          D1A       56.75       1451.14      59.36    240.00  1211.14       63.71          710.00    225.00
  1     83  PMG-SL  ManEst      3      17          D2A       56.55       1485.06      57.75    250.00  1235.06       60.68          945.00    245.00
  1     84  PMG-SL  ManEst      3      17          D2A       57.97       2097.82      58.27    300.00  1797.82       59.08         1865.00    440.00
  1     85  PMG-SL  ManEst      3      17          D2A       56.39       1496.99      58.22    410.00  1086.99       58.49         1200.00    400.00
  1     86  PMG-SL  ManEst      3      17          D1A       56.08       1509.12      56.07    330.00  1179.12       55.48         1175.00    295.00
  1     87  PMG-SL  ManEst      3      17          D1B       56.38       1592.02      57.13    255.00  1337.02       56.64         1335.00    240.00
  1     88  PMG-SL  ManEst      3      17          D1A       58.33       1751.96      57.74    405.00  1346.96       58.18         1250.00    380.00
  1     89  PMG-SL  ManEst      3      17          D2B       56.61       1764.94      57.65    355.00  1409.94       55.46          935.00    320.00
  1     90  PMG-SL  ManEst      3      17          D2A       55.79       1668.58      58.97    475.00  1193.58       56.35         1125.00    460.00
  1     91  PMG-SL  ManEst      3      17          D1B       56.30       1641.97      57.86    365.00  1276.97       58.27         1125.00    360.00
  1     92  PMG-SL  ManEst      3      17          D2A       55.50       2018.76      58.58    730.00  1288.76       58.49         1535.00    740.00
  1     93  PMG-SL  ManEst      3      19          D2B       54.21       1429.22      58.27    370.00  1059.22       54.21         1435.00    395.00
  1     94  PMG-SL  ManEst      3      19          D1A       54.62       1433.24      59.50    290.00  1143.24       59.17          965.00    265.00
  1     95  PMG-SL  ManEst      3      19          D2A       54.01       1765.98      54.92    435.00  1330.98       54.84         1405.00    410.00
  1     96  PMG-SL  ManEst      3      20          D2A       60.65       1440.15      57.51    255.00  1185.15       62.31         1095.00    280.00
  1     97  PMG-SL  ManEst      4      20          D2B       57.06       1165.33      58.57    295.00   870.33       60.77          905.00    295.00
  1     98  PMG-SL  ManEst      4      20          D2B       56.87       1161.35      57.59    255.00   906.35       58.90          860.00    260.00
  1     99  PMG-SL  ManEst      4      20          D2B       57.70       1151.13      56.48    305.00   846.13       60.31          955.00    285.00
  1    100  PMG-SL  ManEst      4      20          D2A       63.66       1206.23      59.32    250.00   956.23       68.94          885.00    250.00
  1    101  PMG-SL  ManEst      4      20          D2A       59.53       1316.22      57.40    245.00  1071.22       62.52          650.00    235.00
  1    102  PMG-SL  ManEst      4      20          D1A       58.42       1408.22      58.05    180.00  1228.22       58.25          980.00    170.00
  1    103  PMG-SL  ManEst      4      20          D1A       57.23       1384.25      55.71    255.00  1129.25       59.11          895.00    295.00
  1    104  PMG-SL  ManEst      4      20          D2A       58.95       1468.11      57.39    285.00  1183.11       59.87         1150.00    280.00
  1    105  PMG-SL  ManEst      4      20          D1A       56.92       1428.07      56.22    340.00  1088.07       56.90         1435.00    320.00
  1    106  PMG-SL  ManEst      4      20          D2A       58.16       1598.08      57.86    275.00  1323.08       55.21          810.00    255.00
  1    107  PMG-SL  ManEst      4      20          D1A       57.47       1300.26      56.50    285.00  1015.26       58.89          910.00    270.00
  1    108  PMG-SL  ManEst      4      20          D2A       56.50       1366.00      57.40    315.00  1051.00       56.91          950.00    330.00
  1    109  PMG-SL  ManEst      4      20          D1B       54.43       1354.21      56.38    290.00  1064.21       55.76         1145.00    305.00
  1    110  PMG-SL  ManEst      4      20          D2B       58.40       1273.19      57.38    275.00   998.19       60.53          900.00    255.00
  1    111  PMG-SL  ManEst      4      20          D1B       55.05       1363.35      56.77    290.00  1073.35       56.15          860.00    295.00
  1    112  PMG-SL  ManEst      4      20          D2B       53.91       1223.35      56.60    300.00   923.35       57.37          845.00    290.00
  1    113  PMG-SL  ManEst      4      20          D1B       56.62       1330.32      56.02    440.00   890.32       60.69          905.00    400.00
  1    114  PMG-SL  ManEst      4      20          D2B       56.88       1367.06      58.79    395.00   972.06       60.55          945.00    390.00
  1    115  PMG-SL  ManEst      4      20          D2B       54.66       1365.23      58.49    410.00   955.23       56.59          880.00    420.00
  1    116  PMG-SL  ManEst      4      20          D2A       54.39       1370.21      56.39    350.00  1020.21       60.23          800.00    310.00
  1    117  PMG-SL  ManEst      4      20          D1B       55.52       1152.44      56.61    275.00   877.44       58.61          940.00    260.00
  1    118  PMG-SL  ManEst      4      20          D1B       55.74       1526.05      56.32    415.00  1111.05       55.67          810.00    410.00
  1    119  PMG-SL  ManEst      4      20          D2A       55.08       1504.16      57.56    330.00  1174.16       54.53          830.00    310.00
  1    120  PMG-SL  ManEst      4      21          D1A       56.80       1518.69      57.45    275.00  1243.69       55.97          830.00    265.00
  1    121  PMG-SL  ManEst      4      21          D2B       58.92       1504.17      58.54    280.00  1224.17       60.81          910.00    295.00
  1    122  PMG-SL  ManEst      4      21          D1B       55.28       1441.22      56.75    325.00  1116.22       56.27         1065.00    310.00
  1    123  PMG-SL  ManEst      4      21          D1B       57.81       1279.27      57.06    240.00  1039.27       58.58          875.00    240.00
  1    124  PMG-SL  ManEst      4      21          D1A       62.29       1516.17      56.67    250.00  1266.17       61.38          925.00    270.00
  1    125  PMG-SL  ManEst      4      21          D1A       54.52       1346.27      57.72    420.00   926.27       56.35          845.00    415.00
  1    126  PMG-SL  ManEst      4      21          D1A       57.13       1442.21      58.47    300.00  1142.21       57.62         1420.00    300.00
  1    127  PMG-SL  ManEst      4      21          D1B       58.45       1647.03      56.50    390.00  1257.03       61.37          870.00    400.00
  1    128  PMG-SL  ManEst      4      21          D2A       56.77       1661.02      57.11    260.00  1401.02       52.27          905.00    240.00
  2      1  PMG-SL  ManEst      1       0          D2A       52.81       1061.41      58.45    285.00   776.41       54.44          925.00    290.00
  2      2  PMG-SL  ManEst      1       0          D1B       51.08       1074.42      59.20    295.00   779.42       50.94          695.00    285.00
  2      3  PMG-SL  ManEst      1       0          D2B       51.38       1057.52      58.59    290.00   767.52       49.69          410.00    285.00
  2      4  PMG-SL  ManEst      1       0          D2B       60.45       1009.45      59.01    235.00   774.45       62.46          670.00    255.00
  2      5  PMG-SL  ManEst      1       0          D2B       50.04       1114.24      59.54    255.00   859.24       52.18          925.00    250.00
  2      6  PMG-SL  ManEst      1       0          D1B       52.78       1066.44      58.08    345.00   721.44       55.67          950.00    330.00
  2      7  PMG-SL  ManEst      1       0          D1B       50.10       1105.43      59.06    320.00   785.43       51.03          990.00    300.00
  2      8  PMG-SL  ManEst      1       0          D2A       54.66       1055.46      59.57    260.00   795.46       57.10          680.00    245.00
  2      9  PMG-SL  ManEst      1       0          D2A       49.26       1048.43      59.97    270.00   778.43       47.92          640.00    260.00
  2     10  PMG-SL  ManEst      1       0          D2B       56.35       1038.43      58.73    210.00   828.43       58.02          600.00    190.00
  2     11  PMG-SL  ManEst      1       0          D1A       52.36       1091.47      59.27    215.00   876.47       54.04          780.00    215.00
  2     12  PMG-SL  ManEst      1       1          D2B       49.91       1192.43      61.07    360.00   832.43       51.19          880.00    355.00
  2     13  PMG-SL  ManEst      1       1          D1A       52.52       1185.25      58.76    395.00   790.25       55.22         1040.00    385.00
  2     14  PMG-SL  ManEst      1       1          D1A       54.12       1125.35      58.12    265.00   860.35       51.37          395.00    245.00
  2     15  PMG-SL  ManEst      1       1          D1A       56.54       1162.33      59.38    295.00   867.33       53.75          565.00    285.00
  2     16  PMG-SL  ManEst      1       1          D2A       56.36       1157.41      59.51    350.00   807.41       56.82          720.00    340.00
  2     17  PMG-SL  ManEst      1       1          D1B       55.37       1073.42      59.43    270.00   803.42       52.72          620.00    255.00
  2     18  PMG-SL  ManEst      1       1          D1A       52.22       1102.41      59.77    260.00   842.41       53.58          530.00    250.00
  2     19  PMG-SL  ManEst      1       1          D1B       53.10       1175.38      59.03    310.00   865.38       52.57          725.00    295.00
  2     20  PMG-SL  ManEst      1       1          D1A       56.93       1079.41      60.75    280.00   799.41       55.79          675.00    270.00
  2     21  PMG-SL  ManEst      1       1          D1B       56.02       1273.28      58.40    385.00   888.28       56.42          830.00    370.00
  2     22  PMG-SL  ManEst      1       1          D1A       52.45       1327.27      59.42    475.00   852.27       52.51         1335.00    470.00
  2     23  PMG-SL  ManEst      1       1          D2B       48.86       1240.37      58.50    530.00   710.37       50.29          900.00    520.00
  2     24  PMG-SL  ManEst      1       1          D1B       53.08       1062.43      58.37    255.00   807.43       53.91         1000.00    245.00
  2     25  PMG-SL  ManEst      1       1          D1B       57.72       1029.49      59.06    280.00   749.49       60.08          850.00    265.00
  2     26  PMG-SL  ManEst      1       1          D2B       54.79        997.42      59.74    225.00   772.42       56.42          580.00    225.00
  2     27  PMG-SL  ManEst      1       1          D2A       57.73       1049.39      60.42    215.00   834.39       59.78          585.00    210.00
  2     28  PMG-SL  ManEst      1       1          D1A       49.71        979.27      58.95    240.00   739.27       48.15          370.00    230.00
  2     29  PMG-SL  ManEst      1       1          D2A       54.44       1123.19      58.95    300.00   823.19       54.07          645.00    295.00
  2     30  PMG-SL  ManEst      1       1          D2A       54.76        976.58      58.67    225.00   751.58       49.69          350.00    220.00
  2     31  PMG-SL  ManEst      1       1          D2B       50.26       1000.57      58.98    260.00   740.57       53.28          385.00    245.00
  2     32  PMG-SL  ManEst      1       1          D2A       52.91       1102.40      58.57    335.00   767.40       52.74          705.00    325.00
  2     33  PMG-SL  ManEst      2       1          D2B       53.26       1011.49      58.37    290.00   721.49       52.53          430.00    290.00
  2     34  PMG-SL  ManEst      2       1          D1A       57.53       1080.40      58.49    330.00   750.40       59.39          925.00    325.00
  2     35  PMG-SL  ManEst      2       1          D1A       53.22       1035.48      59.73    260.00   775.48       55.61          815.00    255.00
  2     36  PMG-SL  ManEst      2       1          D1B       55.72       1215.26      58.66    340.00   875.26       57.51          775.00    340.00
  2     37  PMG-SL  ManEst      2       1          D2B       50.70       1090.42      59.53    275.00   815.42       52.12          735.00    260.00
  2     38  PMG-SL  ManEst      2       1          D1B       50.99       1344.20      58.66    330.00  1014.20       50.09          800.00    315.00
  2     39  PMG-SL  ManEst      2       1          D1B       53.59       1095.40      59.48    310.00   785.40       52.92          675.00    285.00
  2     40  PMG-SL  ManEst      2       1          D2B       57.17       1209.30      58.52    380.00   829.30       60.01          970.00    365.00
  2     41  PMG-SL  ManEst      2       1          D1B       51.49       1109.40      56.88    340.00   769.40       50.89          655.00    320.00
  2     42  PMG-SL  ManEst      2       1          D1B       49.84       1063.44      58.67    305.00   758.44       50.42          700.00    295.00
  2     43  PMG-SL  ManEst      2       1          D2A       51.98       1138.43      58.68    205.00   933.43       52.17          350.00    195.00
  2     44  PMG-SL  ManEst      2       1          D1A       52.74       1048.48      59.32    320.00   728.48       54.29          930.00    310.00
  2     45  PMG-SL  ManEst      2       1          D1A       58.33       1169.34      59.53    465.00   704.34       56.62          820.00    440.00
  2     46  PMG-SL  ManEst      2       1          D2B       59.65       1164.35      61.07    285.00   879.35       60.41          785.00    290.00
  2     47  PMG-SL  ManEst      2       1          D1B       55.05       1118.40      60.76    345.00   773.40       57.53          885.00    330.00
  2     48  PMG-SL  ManEst      2       1          D1A       55.42       1185.32      59.78    390.00   795.32       57.44          910.00    380.00
