Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp     MaxApTime       G12FGAp        RT  TouchedAp  TouchedTime       GGRT
  1    103  PMG-SL   Grasp      4       3          D2B    82.41        775.00         59.22    330.00      75.82       865.00     310.00
  1    104  PMG-SL   Grasp      4       3          D2A    81.08        850.00         57.81    340.00      80.80       860.00     335.00
  1    105  PMG-SL   Grasp      4       3          D2B    78.88        665.00         57.67    285.00      78.88       665.00     280.00
  1    106  PMG-SL   Grasp      4       3          D1A    79.63        795.00         57.42    345.00      79.24       820.00     380.00
  1    107  PMG-SL   Grasp      4       3          D1A    77.21        815.00         59.00    270.00      77.21       815.00     260.00
  1    108  PMG-SL   Grasp      4       3          D1A    77.10        735.00         56.45    255.00      77.10       735.00     250.00
  1    109  PMG-SL   Grasp      4       3          D1A    75.90        740.00         57.12    280.00      75.90       740.00     280.00
  1    110  PMG-SL   Grasp      4       3          D1B    71.24        840.00         56.96    325.00      71.24       840.00     305.00
  1    111  PMG-SL   Grasp      4       3          D1B    77.43        785.00         57.57    295.00      76.50       855.00     295.00
  1    112  PMG-SL   Grasp      4       3          D2A    72.41        800.00         57.66    325.00      71.96       820.00     330.00
  1    113  PMG-SL   Grasp      4       3          D2B    71.22        815.00         58.21    345.00      71.22       815.00     315.00
  1    114  PMG-SL   Grasp      4       3          D2A    85.34        490.00         58.08    110.00      83.88       555.00     120.00
  1    115  PMG-SL   Grasp      4       3          D1B    65.95        825.00         56.59    365.00      65.95       825.00     365.00
  1    116  PMG-SL   Grasp      4       3          D2B    71.62        775.00         58.45    260.00      70.46       835.00     250.00
  1    117  PMG-SL   Grasp      4       3          D2A    80.22        890.00         56.86    375.00      79.63       935.00     350.00
  1    118  PMG-SL   Grasp      4       3          D2A    73.98        910.00         58.03    350.00      73.98       910.00     315.00
  1    119  PMG-SL   Grasp      4       3          D2B    72.87        790.00         57.94    280.00      72.57       810.00     270.00
  1    120  PMG-SL   Grasp      4       3          D2A    72.37        940.00         57.63    495.00      72.00       955.00     490.00
  1    121  PMG-SL   Grasp      4       3          D1A    75.03        865.00         58.17    345.00      74.97       870.00     330.00
  1    122  PMG-SL   Grasp      4       3          D1B    71.02        670.00         56.27    310.00      71.02       670.00     305.00
  1    123  PMG-SL   Grasp      4       3          D1B    71.83        775.00         58.32    300.00      70.71       855.00     355.00
  1    124  PMG-SL   Grasp      4       3          D1B    73.70        735.00         58.04    300.00      73.53       750.00     280.00
  1    125  PMG-SL   Grasp      4       3          D1A    73.21        860.00         57.79    455.00      72.90       880.00     440.00
  1    126  PMG-SL   Grasp      4       3          D1B    77.69        695.00         56.58    310.00      77.69       695.00     390.00
  1    127  PMG-SL   Grasp      4       3          D2B    72.85        825.00         58.57    280.00      72.85       825.00     290.00
  1    128  PMG-SL   Grasp      4       3          D1B    70.41        830.00         57.89    230.00      68.70       865.00     225.00
  2      1  PMG-SL   Grasp      1       0          D2B    75.68        605.00         58.95    285.00      69.65       770.00     260.00
  2      2  PMG-SL   Grasp      1       0          D1B    68.23        825.00         57.64    315.00      68.17       840.00     285.00
  2      3  PMG-SL   Grasp      1       0          D1B    70.98        650.00         58.53    255.00      70.00       710.00     245.00
  2      4  PMG-SL   Grasp      1       0          D1A    73.64        620.00         58.82    250.00      72.89       655.00     250.00
  2      5  PMG-SL   Grasp      1       0          D1B    67.96        760.00         58.37    340.00      67.96       760.00     320.00
  2      6  PMG-SL   Grasp      1       0          D2A    69.89        750.00         59.46    300.00      69.89       750.00     295.00
  2      7  PMG-SL   Grasp      1       0          D2B    66.86        650.00         58.69    220.00      66.33       705.00     265.00
  2      8  PMG-SL   Grasp      1       0          D1A    66.70        740.00         58.28    310.00      66.35       755.00     305.00
  2      9  PMG-SL   Grasp      1       0          D2A    67.37        815.00         58.00    360.00      66.58       850.00     350.00
  2     10  PMG-SL   Grasp      1       0          D2A    63.00        905.00         57.34    380.00      63.00       905.00     355.00
  2     11  PMG-SL   Grasp      1       0          D2B    67.89        735.00         58.32    260.00      67.89       735.00     245.00
  2     12  PMG-SL   Grasp      1       0          D2A    64.83        740.00         58.22    235.00      64.82       745.00     240.00
  2     13  PMG-SL   Grasp      1       0          D1B    67.57        700.00         58.49    230.00      67.57       700.00     225.00
  2     14  PMG-SL   Grasp      1       0          D1B    66.80        875.00         56.84    375.00      66.80       875.00     365.00
  2     15  PMG-SL   Grasp      1       0          D2A    64.09        750.00         58.80    280.00      64.09       750.00     270.00
  2     16  PMG-SL   Grasp      1       0          D2B    65.66        810.00         58.47    315.00      65.57       825.00     315.00
  2     17  PMG-SL   Grasp      1       0          D1A    69.30        665.00         57.48    230.00      67.90       720.00     240.00
  2     18  PMG-SL   Grasp      1       0          D2B    70.27        745.00         57.29    235.00      70.20       760.00     230.00
  2     19  PMG-SL   Grasp      1       0          D1B    63.18        805.00         57.76    340.00      62.14       950.00     330.00
  2     20  PMG-SL   Grasp      1       0          D2B    68.10        835.00         58.59    300.00      67.99       850.00     280.00
  2     21  PMG-SL   Grasp      1       0          D2A    66.12        845.00         58.40    315.00      66.12       845.00     295.00
  2     22  PMG-SL   Grasp      1       0          D1A    65.37        905.00         57.85    375.00      65.36       915.00     375.00
  2     23  PMG-SL   Grasp      1       0          D1A    66.79        905.00         57.52    360.00      66.79       910.00     340.00
  2     24  PMG-SL   Grasp      1       0          D1A    66.37        800.00         57.56    325.00      66.35       810.00     320.00
  2     25  PMG-SL   Grasp      1       0          D2A    69.29        685.00         58.17    225.00      69.29       685.00     205.00
  2     26  PMG-SL   Grasp      1       0          D1A    65.45        830.00         57.44    365.00      65.44       835.00     345.00
  2     27  PMG-SL   Grasp      1       0          D2B    56.37       1090.00         58.35    470.00      56.37      1090.00     465.00
  2     28  PMG-SL   Grasp      1       0          D1B    66.22       1015.00         57.49    465.00      66.22      1015.00     455.00
  2     29  PMG-SL   Grasp      1       0          D2B    64.65       1015.00         58.51    400.00      64.65      1015.00     390.00
  2     30  PMG-SL   Grasp      1       0          D1B    64.18        700.00         57.76    255.00      64.17       705.00     245.00
  2     31  PMG-SL   Grasp      1       0          D2A    67.85        740.00         58.52    250.00      67.27       780.00     240.00
  2     32  PMG-SL   Grasp      1       0          D1A    68.36        755.00         57.81    205.00      68.36       755.00     235.00
