Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst
  3     67  MPG-SL  ManEst      3      50          D1A       62.61    250.00       42.64
  3     68  MPG-SL  ManEst      3      50          D2B       61.88    270.00       41.92
  3     69  MPG-SL  ManEst      3      50          D2B       60.81    225.00       40.84
  3     70  MPG-SL  ManEst      3      50          D1A       59.54    300.00       39.57
  3     71  MPG-SL  ManEst      3      50          D2A       61.44    285.00       41.47
  3     72  MPG-SL  ManEst      3      50          D2A       67.76    290.00       47.80
  3     73  MPG-SL  ManEst      3      50          D1B       61.90    335.00       41.93
  3     74  MPG-SL  ManEst      3      50          D2A       62.63    320.00       42.67
  3     75  MPG-SL  ManEst      3      50          D2B       61.68    275.00       41.71
  3     76  MPG-SL  ManEst      3      50          D2A       63.33    230.00       43.37
  3     77  MPG-SL  ManEst      3      50          D2B       64.50    340.00       44.53
  3     78  MPG-SL  ManEst      3      50          D1A       66.08    340.00       46.11
  3     79  MPG-SL  ManEst      3      50          D1A       67.76    235.00       47.80
  3     80  MPG-SL  ManEst      3      50          D2B       64.53    315.00       44.56
  3     81  MPG-SL  ManEst      3      50          D2A       64.92    265.00       44.95
  3     82  MPG-SL  ManEst      3      50          D2A       63.72    260.00       43.75
  3     83  MPG-SL  ManEst      3      50          D1B       64.22    380.00       44.25
  3     84  MPG-SL  ManEst      3      50          D2B       64.91    260.00       44.94
  3     85  MPG-SL  ManEst      3      50          D2B       61.62    335.00       41.65
  3     86  MPG-SL  ManEst      3      50          D1B       64.87    250.00       44.91
  3     87  MPG-SL  ManEst      3      50          D1A       63.86    300.00       43.90
  3     88  MPG-SL  ManEst      3      50          D1B       60.96    235.00       40.99
  3     89  MPG-SL  ManEst      3      50          D2A       62.32    390.00       42.35
  3     90  MPG-SL  ManEst      3      50          D2B       63.86    255.00       43.89
  3     91  MPG-SL  ManEst      3      50          D1B       63.88    250.00       43.91
  3     92  MPG-SL  ManEst      3      50          D1B       64.68    415.00       44.71
  3     93  MPG-SL  ManEst      3      50          D1A       64.74    300.00       44.77
  3     94  MPG-SL  ManEst      3      50          D1A       65.01    225.00       45.04
  3     95  MPG-SL  ManEst      3      50          D2A       64.22    315.00       44.25
  3     96  MPG-SL  ManEst      3      50          D1B       62.59    280.00       42.62
  3     97  MPG-SL  ManEst      4      50          D2A       62.24    425.00       42.11
  3     98  MPG-SL  ManEst      4      50          D2B       64.04    295.00       43.91
  3     99  MPG-SL  ManEst      4      50          D2B       64.46    230.00       44.33
  3    100  MPG-SL  ManEst      4      51          D2A       62.93    200.00       42.80
  3    101  MPG-SL  ManEst      4      51          D1B       58.42    225.00       38.28
  3    102  MPG-SL  ManEst      4      51          D2B       61.33    445.00       41.19
  3    103  MPG-SL  ManEst      4      51          D2A       66.44    460.00       46.31
  3    104  MPG-SL  ManEst      4      51          D2B       65.47    260.00       45.34
  3    105  MPG-SL  ManEst      4      51          D2A       64.36    235.00       44.23
  3    106  MPG-SL  ManEst      4      51          D1A       64.52    375.00       44.39
  3    107  MPG-SL  ManEst      4      51          D1A       64.21    405.00       44.08
  3    108  MPG-SL  ManEst      4      51          D2A       62.03    260.00       41.90
  3    109  MPG-SL  ManEst      4      51          D1B       63.91    330.00       43.77
  3    110  MPG-SL  ManEst      4      51          D1B       63.67    290.00       43.54
  3    111  MPG-SL  ManEst      4      51          D1B       64.48    280.00       44.35
  3    112  MPG-SL  ManEst      4      51          D2B       64.93    265.00       44.79
  3    113  MPG-SL  ManEst      4      51          D2A       60.46    365.00       40.32
  3    114  MPG-SL  ManEst      4      51          D1B       72.03    220.00       51.90
  3    115  MPG-SL  ManEst      4      51          D1A       62.55    180.00       42.41
  3    116  MPG-SL  ManEst      4      51          D2A       62.94    390.00       42.81
  3    117  MPG-SL  ManEst      4      51          D1B       63.98    405.00       43.85
